qid,question.en,question.vi,answer.en,answer.vi,url
crawled_000,What are the symptoms of COVID\-19?,Triệu chứng của COVID-19 là gì?,"The most common symptoms of COVID\-19 are

• fever
• chills
• sore throat.

Other symptoms that are less common and may affect some patients include:

• muscle aches
• severe fatigue or tiredness
• runny or blocked nose, or sneezing
• headache
• sore eyes
• dizziness
• new and persistent cough
• tight chest or chest pain
• shortness of breath
• hoarse voice
• heavy arms/legs
• numbness/tingling
• nausea, vomiting, abdominal pain/ belly ache, or diarrhoea
• appetite loss
• loss or change of sense of taste or smell
• difficulty sleeping.

Symptoms of severe COVID‐19 disease which need immediate medical attention include:

• difficulty in breathing, especially at rest, or unable to speak in sentences
• confusion
• drowsiness or loss of consciousness
• persistent pain or pressure in the chest
• skin being cold or clammy, or turning pale or a bluish colour
• loss of speech or movement.

If possible, call your health care provider, hotline or health facility first, so you can be directed to the right clinic.

People who have pre\-existing health problems are at higher risk when they have COVID\-19; they should seek medical help early if worried about their condition. These include, but are not limited to: those taking immunosuppressive medication; those with chronic heart, lung, liver or rheumatological problems; those with HIV, diabetes, cancer or dementia.","Các triệu chứng phổ biến nhất của COVID-19 là

• sốt  
• ớn lạnh  
• đau họng.  

Các triệu chứng khác ít phổ biến hơn và có thể ảnh hưởng đến một số bệnh nhân bao gồm:

• đau cơ  
• mệt mỏi nghiêm trọng hoặc kiệt sức  
• chảy nước mũi hoặc nghẹt mũi, hoặc hắt hơi  
• đau đầu  
• đau mắt  
• chóng mặt  
• ho mới và dai dẳng  
• tức ngực hoặc đau ngực  
• khó thở  
• giọng khàn  
• tay/chân nặng nề  
• tê/bị châm chích  
• buồn nôn, nôn mửa, đau bụng hoặc tiêu chảy  
• mất cảm giác thèm ăn  
• mất hoặc thay đổi cảm giác vị giác hoặc khứu giác  
• khó ngủ.  

Các triệu chứng của bệnh COVID-19 nghiêm trọng cần được chăm sóc y tế ngay lập tức bao gồm:

• khó thở, đặc biệt là khi nghỉ ngơi, hoặc không thể nói thành câu  
• lú lẫn  
• buồn ngủ hoặc mất ý thức  
• đau hoặc áp lực dai dẳng trong ngực  
• da lạnh hoặc ẩm ướt, hoặc chuyển sang màu nhợt nhạt hoặc xanh tím  
• mất khả năng nói hoặc cử động.  

Nếu có thể, hãy gọi cho nhà cung cấp dịch vụ chăm sóc sức khỏe, đường dây nóng hoặc cơ sở y tế trước, để bạn có thể được hướng dẫn đến phòng khám phù hợp.

Những người có vấn đề sức khỏe từ trước có nguy cơ cao hơn khi mắc COVID-19; họ nên tìm kiếm sự trợ giúp y tế sớm nếu lo lắng về tình trạng của mình. Những người này bao gồm, nhưng không giới hạn ở: những người đang dùng thuốc ức chế miễn dịch; những người có vấn đề mãn tính về tim, phổi, gan hoặc bệnh lý thấp khớp; những người mắc HIV, tiểu đường, ung thư hoặc sa sút trí tuệ.",https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19
crawled_001,What is WHO’s position on ‘lockdowns’ as a way of fighting COVID\-19?,Vị trí của WHO đối với 'biện pháp phong tỏa' như một cách để chống lại COVID-19 là gì?,"Large scale physical distancing measures and movement restrictions, often referred to as ‘lockdowns’, can slow COVID‑19 transmission by limiting contact between people.

However, these measures can have a profound negative impact on individuals, communities, and societies by bringing social and economic life to a near stop. Such measures disproportionately affect disadvantaged groups, including people in poverty, migrants, internally displaced people and refugees, who most often live in overcrowded and under resourced settings, and depend on daily labour for subsistence.

WHO recognizes that at certain points, some countries have had no choice but to issue stay\-at\-home orders and other measures, to buy time.

Governments must make the most of the extra time granted by ‘lockdown’ measures by doing all they can to build their capacities to detect, isolate, test and care for all cases; trace and quarantine all contacts; engage, empower and enable populations to drive the societal response and more.

WHO is hopeful that countries will use targeted interventions where and when needed, based on the local situation.","Các biện pháp giãn cách xã hội quy mô lớn và hạn chế di chuyển, thường được gọi là 'phong tỏa', có thể làm chậm sự lây truyền COVID-19 bằng cách hạn chế tiếp xúc giữa người với người.

Tuy nhiên, những biện pháp này có thể gây ra tác động tiêu cực sâu sắc đến cá nhân, cộng đồng và xã hội bằng cách làm cho đời sống xã hội và kinh tế gần như ngừng lại. Những biện pháp này ảnh hưởng không cân xứng đến các nhóm thiệt thòi, bao gồm người nghèo, người di cư, người di dời trong nước và người tị nạn, những người thường sống trong các điều kiện chật chội và thiếu thốn tài nguyên, và phụ thuộc vào lao động hàng ngày để sinh sống.

WHO nhận thấy rằng vào những thời điểm nhất định, một số quốc gia không có lựa chọn nào khác ngoài việc ban hành lệnh ở nhà và các biện pháp khác để mua thêm thời gian.

Các chính phủ phải tận dụng tối đa thời gian thêm mà các biện pháp 'phong tỏa' mang lại bằng cách làm tất cả những gì có thể để xây dựng năng lực phát hiện, cách ly, xét nghiệm và chăm sóc tất cả các trường hợp; truy vết và cách ly tất cả các tiếp xúc; tham gia, trao quyền và tạo điều kiện cho người dân thúc đẩy phản ứng xã hội và hơn thế nữa.

WHO hy vọng rằng các quốc gia sẽ sử dụng các can thiệp có mục tiêu khi cần thiết, dựa trên tình hình địa phương.",https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/herd-immunity-lockdowns-and-covid-19
crawled_002,What should travellers do if they get sick while at an accommodation facility?,Du khách nên làm gì nếu họ bị ốm khi đang ở tại cơ sở lưu trú?,"If a guest develops symptoms of COVID\-19, such as fever, dry cough or tiredness, they should notify the facility manager and seek medical advice by contacting local health authorities.

The guest should isolate from others, including fellow travellers. If the guest cannot be isolated or staff need to enter the room, the ill person should put on a medical mask, and people nearby should also wear a mask.   If the medical mask cannot be tolerated by the ill person, then he or she should cough or sneeze into a bent elbow or use tissues to cover the mouth, and discard the tissue immediately into a closed waste bag.","Nếu một khách có triệu chứng của COVID-19, chẳng hạn như sốt, ho khan hoặc mệt mỏi, họ nên thông báo cho quản lý cơ sở và tìm kiếm lời khuyên y tế bằng cách liên hệ với cơ quan y tế địa phương.

Khách nên cách ly khỏi những người khác, bao gồm cả những người cùng đi du lịch. Nếu khách không thể cách ly hoặc nhân viên cần vào phòng, người bệnh nên đeo khẩu trang y tế, và những người xung quanh cũng nên đeo khẩu trang. Nếu người bệnh không thể chịu được khẩu trang y tế, thì họ nên ho hoặc hắt hơi vào khuỷu tay gập lại hoặc sử dụng khăn giấy để che miệng, và vứt bỏ khăn giấy ngay lập tức vào túi rác kín.",https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-staying-at-hotels-and-accommodation-establishments
crawled_003,"What care should be available during pregnancy, childbirth and the postnatal period?","Chăm sóc nào nên có trong thời kỳ mang thai, sinh nở và sau sinh?","All pregnant and postpartum women and their newborns, including those with confirmed or suspected COVID\-19 infections, have the right to high quality care before, during and after childbirth, including mental health care.

A safe and positive childbirth experience includes:

• being treated with respect and dignity
• having a companion of choice present during delivery
• clear communication by maternity staff
• appropriate pain relief strategies
• mobility in labour where possible, and birth position of choice.

If COVID\-19 is suspected or confirmed, health workers should take all appropriate precautions to reduce risks of infection to themselves and others, including hand hygiene and appropriate use of protective clothing like gloves, gown and medical mask.","Tất cả phụ nữ mang thai và sau sinh cùng với trẻ sơ sinh của họ, bao gồm cả những người có nhiễm hoặc nghi ngờ nhiễm COVID-19, đều có quyền được chăm sóc chất lượng cao trước, trong và sau khi sinh, bao gồm cả chăm sóc sức khỏe tâm thần.

Một trải nghiệm sinh nở an toàn và tích cực bao gồm:

- được đối xử với sự tôn trọng và phẩm giá
- có người đồng hành theo ý muốn hiện diện trong quá trình sinh
- giao tiếp rõ ràng từ nhân viên y tế sản khoa
- các chiến lược giảm đau phù hợp
- di chuyển trong quá trình chuyển dạ nếu có thể, và lựa chọn tư thế sinh theo ý muốn.

Nếu nghi ngờ hoặc xác nhận nhiễm COVID-19, nhân viên y tế nên thực hiện tất cả các biện pháp phòng ngừa thích hợp để giảm nguy cơ lây nhiễm cho bản thân và người khác, bao gồm vệ sinh tay và sử dụng trang phục bảo hộ thích hợp như găng tay, áo choàng và khẩu trang y tế.",https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-pregnancy-and-childbirth
crawled_004,"In communities where COVID\-19 is prevalent, should mothers breastfeed?","Ở những cộng đồng có sự lưu hành rộng rãi của COVID-19, các bà mẹ có nên cho con bú không?","Yes. In all socio\-economic settings, breastfeeding improves survival and provides lifelong health and development advantages to newborns and infants. Breastfeeding also improves the health of mothers.","Vâng. Trong mọi hoàn cảnh kinh tế xã hội, việc nuôi con bằng sữa mẹ cải thiện khả năng sống sót và mang lại lợi ích sức khỏe và phát triển suốt đời cho trẻ sơ sinh và trẻ nhỏ. Nuôi con bằng sữa mẹ cũng cải thiện sức khỏe của các bà mẹ.",https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-breastfeeding
crawled_005,Can COVID\-19 be passed from a woman to her unborn or newborn baby?,COVID-19 có thể lây truyền từ người mẹ sang thai nhi hoặc trẻ sơ sinh không?,"Transmission of the virus while your baby is in the womb or during birth is possible, but very rare. Most babies won’t develop COVID\-19 disease, and those who develop symptoms tend to recover quickly.

Babies can be infected after birth, so if you do get COVID\-19, it is important for you and other caregivers to take all precautions to reduce the risks of passing the virus to the baby.

Babies can be placed skin\-to\-skin and breastfed if the mother is confirmed or suspected to have COVID\-19\. The numerous benefits of skin\-to\-skin contact and breastfeeding substantially outweigh the potential risks of transmission and illness associated with COVID\-19\.","Sự lây truyền virus khi em bé còn trong bụng mẹ hoặc trong quá trình sinh nở là có thể, nhưng rất hiếm. Hầu hết các em bé sẽ không phát triển bệnh COVID-19, và những em bé có triệu chứng thường hồi phục nhanh chóng.

Trẻ sơ sinh có thể bị nhiễm sau khi sinh, vì vậy nếu bạn bị COVID-19, điều quan trọng là bạn và những người chăm sóc khác phải thực hiện tất cả các biện pháp phòng ngừa để giảm nguy cơ lây truyền virus cho em bé.

Trẻ sơ sinh có thể được đặt tiếp xúc da kề da và bú mẹ nếu người mẹ được xác nhận hoặc nghi ngờ nhiễm COVID-19. Những lợi ích to lớn của việc tiếp xúc da kề da và bú mẹ vượt trội hơn nhiều so với những rủi ro tiềm ẩn về lây truyền và bệnh tật liên quan đến COVID-19.",https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-pregnancy-and-childbirth
crawled_006,Which surface disinfectants are effective against COVID\-19 in non\-health care setting environments?,Chất khử trùng bề mặt nào có hiệu quả chống lại COVID-19 trong môi trường phi y tế?,"In non\-health care settings, sodium hypochlorite (bleach / chlorine) may be used at a recommended concentration of 0\. 1% or 1, 000ppm (1 part of 5% strength household bleach to 49 parts of water). Alcohol at 70\-90% can also be used for surface disinfection. Surfaces must be cleaned with water and soap or a detergent first to remove dirt, followed by disinfection.   Cleaning should always start from the least soiled (cleanest) area to the most soiled (dirtiest) area in order to not spread the dirty to areas that are less soiled.

All disinfectant solutions should be stored in opaque containers, in a well\-ventilated, covered area that is not exposed to direct sunlight and ideally should be freshly prepared every day.

In indoor spaces, routine application of disinfectants to surfaces via spraying is not recommended for COVID\-19\. If disinfectants are to be applied, these should be via a cloth or wipe which is soaked in the disinfectant.","Trong các môi trường không phải chăm sóc sức khỏe, natri hypochlorite (thuốc tẩy / clo) có thể được sử dụng ở nồng độ khuyến nghị là 0,1% hoặc 1.000ppm (1 phần thuốc tẩy gia dụng có nồng độ 5% pha với 49 phần nước). Cồn ở nồng độ 70-90% cũng có thể được sử dụng để khử trùng bề mặt. Bề mặt cần được làm sạch bằng nước và xà phòng hoặc chất tẩy rửa trước để loại bỏ bụi bẩn, sau đó mới tiến hành khử trùng. Việc làm sạch nên bắt đầu từ khu vực ít bẩn nhất (sạch nhất) đến khu vực bẩn nhất (bẩn nhất) để tránh lây lan bụi bẩn sang các khu vực ít bẩn hơn.

Tất cả các dung dịch khử trùng nên được lưu trữ trong các thùng chứa không trong suốt, ở khu vực có mái che, thông thoáng và không tiếp xúc trực tiếp với ánh sáng mặt trời, và lý tưởng nhất là nên được chuẩn bị mới mỗi ngày.

Trong không gian trong nhà, việc phun dung dịch khử trùng lên bề mặt một cách thường xuyên không được khuyến khích để phòng chống COVID-19. Nếu cần áp dụng chất khử trùng, nên sử dụng khăn hoặc giẻ lau đã được ngâm trong dung dịch khử trùng.",https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-cleaning-and-disinfecting-surfaces-in-non-health-care-settings
crawled_007,How expensive are corticosteroids? Are they widely available?,Thuốc corticosteroid có đắt không? Chúng có được sử dụng rộng rãi không?,"Corticosteroids are readily available at a low cost globally.

Corticosteroids are included in the WHO Model Lists of Essential Medicines. The most commonly used corticosteroid, dexamethasone is an off\-patent, common supportive treatment option and is generally affordable. WHO’s 2016 and 2019 surveys of different health facilities in low\- and middle\-income countries indicated that dexamethasone was available to patients at a median price of US$ 0\. 33 per 4mg/ml injection ampoules (range: US$ 0\. 13–3\. 5\).","Corticosteroid có sẵn với chi phí thấp trên toàn cầu.

Corticosteroid được đưa vào Danh mục Thuốc thiết yếu của WHO. Corticosteroid được sử dụng phổ biến nhất, dexamethasone, là một lựa chọn điều trị hỗ trợ thông thường không còn bản quyền và thường có giá cả phải chăng. Các cuộc khảo sát của WHO vào năm 2016 và 2019 tại các cơ sở y tế khác nhau ở các quốc gia có thu nhập thấp và trung bình cho thấy dexamethasone có sẵn cho bệnh nhân với giá trung bình là 0,33 USD cho mỗi ống tiêm 4mg/ml (phạm vi: 0,13–3,5 USD).",https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-dexamethasone
crawled_008,What are the limitations of these estimates and methods?,Những hạn chế của các ước tính và phương pháp này là gì?,"Every model is an approximation of reality. Models are subject to trade\-offs, not least, the balance between comprehensiveness and comprehensibility. WHO’s estimates of the excess mortality associated with the COVID\-19 pandemic are also approximations in a rapidly evolving pandemic with regard to transmissibility and severity. It is worth noting that WHO relies on models to compile a wide range of global health statistics. This is necessary as not all countries have high quality information systems, or those that do cannot always share their data in a timely manner. Therefore, WHO works with countries to strengthen their data and health information systems, while at the same time makes the best use of the data currently available to generate high quality evidence.

 

Specifically with regard to the excess mortality estimates, the model uses relationships that have been quantified using data from the countries with high quality systems for data reporting. We extrapolate these relationships to settings that are in many ways systematically different across multiple dimensions such as health systems capacity, underlying disease burden and age\-structure. Countries have differed on when they experienced waves and how they responded, and quantifying this temporal relationships between COVID\-19 surges or the effects of the emergence of variants is not trivial. In some settings the country responses were reactive but in many others they were proactive. As such, despite the effort to calibrate the model such that it is accurate in different settings, one of the more important limitations to note is that the input data have limited representation and this model generalizes the covariate relationships quantified to settings that may be systematically different from those observed. The final model is intentionally parsimonious. This reduction in complexity means it is not possible for such a reduced set of variables to explain all of the variation that is observed across countries. While the variables chosen are contextually relevant and are found to explain a significant component of the variation in excess, the underlying population characteristics that drove these differences are too complex to fully capture perfectly in a single global model and, hence, the trade\-offs referred to above have had to be made. The estimates, therefore, are the best possible at this point in time for the first 24 months of the pandemic and have some degree of uncertainty around them.","Mỗi mô hình là một sự xấp xỉ của thực tế. Các mô hình phải đối mặt với những sự đánh đổi, đặc biệt là sự cân bằng giữa tính toàn diện và tính dễ hiểu. Các ước tính của WHO về tỷ lệ tử vong vượt mức liên quan đến đại dịch COVID-19 cũng là những sự xấp xỉ trong một đại dịch đang phát triển nhanh chóng về khả năng lây truyền và mức độ nghiêm trọng. Cần lưu ý rằng WHO dựa vào các mô hình để tổng hợp một loạt các thống kê sức khỏe toàn cầu. Điều này là cần thiết vì không phải tất cả các quốc gia đều có hệ thống thông tin chất lượng cao, hoặc những quốc gia có thì không phải lúc nào cũng có thể chia sẻ dữ liệu của họ một cách kịp thời. Do đó, WHO làm việc với các quốc gia để củng cố hệ thống dữ liệu và thông tin y tế của họ, đồng thời tận dụng tối đa dữ liệu hiện có để tạo ra bằng chứng chất lượng cao.

Cụ thể, liên quan đến ước tính tỷ lệ tử vong vượt mức, mô hình sử dụng các mối quan hệ đã được định lượng bằng dữ liệu từ các quốc gia có hệ thống báo cáo dữ liệu chất lượng cao. Chúng tôi ngoại suy các mối quan hệ này đến các bối cảnh mà theo nhiều cách khác nhau có sự khác biệt hệ thống trên nhiều khía cạnh như năng lực hệ thống y tế, gánh nặng bệnh tật cơ bản và cấu trúc tuổi tác. Các quốc gia có sự khác biệt về thời điểm họ trải qua các đợt bùng phát và cách họ ứng phó, và việc định lượng các mối quan hệ thời gian này giữa các đợt bùng phát COVID-19 hoặc tác động của sự xuất hiện của các biến thể không phải là điều đơn giản. Ở một số bối cảnh, phản ứng của quốc gia là phản ứng nhanh nhưng ở nhiều nơi khác, họ đã chủ động. Do đó, mặc dù đã nỗ lực để hiệu chỉnh mô hình sao cho chính xác trong các bối cảnh khác nhau, một trong những hạn chế quan trọng cần lưu ý là dữ liệu đầu vào có sự đại diện hạn chế và mô hình này khái quát hóa các mối quan hệ đồng biến được định lượng đến các bối cảnh có thể khác biệt hệ thống so với những gì đã quan sát được. Mô hình cuối cùng được thiết kế có chủ ý để đơn giản hóa. Sự giảm bớt độ phức tạp này có nghĩa là không thể giải thích tất cả các biến đổi quan sát được giữa các quốc gia chỉ với một tập hợp biến số giảm thiểu như vậy. Mặc dù các biến số được chọn có liên quan đến bối cảnh và được tìm thấy để giải thích một thành phần đáng kể của sự biến đổi trong tỷ lệ tử vong vượt mức, nhưng các đặc điểm dân số cơ bản thúc đẩy những khác biệt này quá phức tạp để có thể nắm bắt hoàn hảo trong một mô hình toàn cầu duy nhất và do đó, những sự đánh đổi đã được đề cập ở trên đã phải được thực hiện. Do đó, các ước tính là tốt nhất có thể tại thời điểm này cho 24 tháng đầu tiên của đại dịch và có một mức độ không chắc chắn nhất định xung quanh chúng.",https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/global-excess-deaths-associated-with-the-COVID-19-pandemic
crawled_009,Can corticosteroids be used in children/the elderly/pregnant?,Thuốc corticosteroid có thể được sử dụng ở trẻ em/người già/phụ nữ mang thai không?,"Yes, they can be used to treat sick children, the elderly and during pregnancy.","Vâng, chúng có thể được sử dụng để điều trị trẻ em bị bệnh, người cao tuổi và trong thời kỳ mang thai.",https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19-dexamethasone
